crop,model,kdd,delta_log_yield
legume,unconstrained,31.246812793755616,-0.05793792290003899
legume,unconstrained,32.433824441139535,-0.05793792290003899
legume,unconstrained,33.62083608852345,-0.05793792290003899
legume,unconstrained,34.807847735907366,-0.05793792290003899
legume,unconstrained,35.994859383291285,-0.05793792290003899
legume,unconstrained,37.1818710306752,-0.05793792290003899
legume,unconstrained,38.368882678059116,-0.05793792290003899
legume,unconstrained,39.555894325443035,-0.05793792290003899
legume,unconstrained,40.74290597282695,-0.15730072532314673
legume,unconstrained,41.929917620210865,-0.15730072532314673
legume,unconstrained,43.116929267594784,-0.15730072532314673
legume,unconstrained,44.303940914978696,-0.15730072532314673
legume,unconstrained,45.490952562362615,-0.15730072532314673
legume,unconstrained,46.677964209746534,-0.15730072532314673
legume,monotonic,0.38450996177378793,0.0
legume,monotonic,1.5715216091577044,0.0
legume,monotonic,2.7585332565416207,-0.0043276224320627915
legume,monotonic,3.945544903925538,-0.060116529319733915
legume,monotonic,5.132556551309454,-0.07899554127715101
legume,monotonic,6.3195681986933705,-0.079997955923235
legume,monotonic,7.506579846077288,-0.08219655300823846
legume,monotonic,8.693591493461202,-0.08559969811841807
legume,monotonic,9.88060314084512,-0.08559969811841807
legume,monotonic,11.067614788229037,-0.08559969811841807
legume,monotonic,12.254626435612952,-0.08559969811841807
legume,monotonic,13.44163808299687,-0.11756073322260657
legume,monotonic,14.628649730380786,-0.12557634391767114
legume,monotonic,15.815661377764702,-0.12557634391767114
legume,monotonic,17.002673025148617,-0.12557634391767114
legume,monotonic,18.189684672532536,-0.12557634391767114
legume,monotonic,19.37669631991645,-0.12557634391767114
legume,monotonic,20.563707967300367,-0.12557634391767114
legume,monotonic,21.750719614684286,-0.12557634391767114
legume,monotonic,22.9377312620682,-0.13033070166540497
legume,monotonic,24.124742909452117,-0.13033070166540497
legume,monotonic,25.311754556836036,-0.13033070166540497
legume,monotonic,26.49876620421995,-0.13033070166540497
legume,monotonic,27.685777851603866,-0.13464940424535302
legume,monotonic,28.872789498987785,-0.13464940424535302
legume,monotonic,30.0598011463717,-0.13464940424535302
legume,monotonic,31.246812793755616,-0.13464940424535302
legume,monotonic,32.433824441139535,-0.13464940424535302
legume,monotonic,33.62083608852345,-0.13464940424535302
legume,monotonic,34.807847735907366,-0.13464940424535302
legume,monotonic,35.994859383291285,-0.13464940424535302
legume,monotonic,37.1818710306752,-0.13464940424535302
legume,monotonic,38.368882678059116,-0.13464940424535302
legume,monotonic,39.555894325443035,-0.13464940424535302
legume,monotonic,40.74290597282695,-0.23175935506364184
legume,monotonic,41.929917620210865,-0.23175935506364184
legume,monotonic,43.116929267594784,-0.23175935506364184
legume,monotonic,44.303940914978696,-0.23175935506364184
legume,monotonic,45.490952562362615,-0.23175935506364184
legume,monotonic,46.677964209746534,-0.23175935506364184
orz,unconstrained,0.40359321638025786,0.0
orz,unconstrained,1.6040599095236259,0.003576048960816825
orz,unconstrained,2.804526602666994,0.007885452989431158
orz,unconstrained,4.004993295810362,0.006674359909871543
orz,unconstrained,5.20545998895373,0.002690698273473322
orz,unconstrained,6.405926682097098,0.015491482500679629
orz,unconstrained,7.606393375240466,0.012932446823932395
orz,unconstrained,8.806860068383834,0.012932446823932395
orz,unconstrained,10.007326761527203,0.012932446823932395
orz,unconstrained,11.207793454670572,0.012629809649483034
orz,unconstrained,12.40826014781394,0.012629809649483034
orz,unconstrained,13.608726840957306,0.024489411593789274
orz,unconstrained,14.809193534100675,0.02600356185061768
orz,unconstrained,16.009660227244044,0.02600356185061768
orz,unconstrained,17.21012692038741,0.0005888326325336167
orz,unconstrained,18.41059361353078,-0.0016109921672064487
orz,unconstrained,19.611060306674148,-0.0016109921672064487
orz,unconstrained,20.811526999817517,-0.0030704090302966836
orz,unconstrained,22.011993692960885,-0.0030704090302966836
orz,unconstrained,23.21246038610425,-0.0030704090302966836
orz,unconstrained,24.41292707924762,-0.004069975066406329
orz,unconstrained,25.61339377239099,-0.004069975066406329
orz,unconstrained,26.813860465534354,-0.004069975066406329
orz,unconstrained,28.014327158677723,-0.004069975066406329
orz,unconstrained,29.214793851821092,-0.017255146557846688
orz,unconstrained,30.41526054496446,-0.059627712051829006
orz,unconstrained,31.61572723810783,-0.07999787537858662
orz,unconstrained,32.8161939312512,-0.1197374880577326
orz,unconstrained,34.01666062439456,-0.1197374880577326
orz,unconstrained,35.21712731753793,-0.126721107393779
orz,unconstrained,36.4175940106813,-0.126721107393779
orz,unconstrained,37.61806070382467,-0.12839599070362392
orz,unconstrained,38.81852739696804,-0.12839599070362392
orz,unconstrained,40.018994090111406,-0.12839599070362392
orz,unconstrained,41.219460783254775,-0.12839599070362392
orz,unconstrained,42.41992747639814,-0.12839599070362392
orz,unconstrained,43.62039416954151,-0.12839599070362392
orz,unconstrained,44.820860862684874,-0.12839599070362392
orz,unconstrained,46.02132755582824,-0.12839599070362392
orz,unconstrained,47.22179424897161,-0.12839599070362392
orz,monotonic,0.40359321638025786,0.0
orz,monotonic,1.6040599095236259,0.0
orz,monotonic,2.804526602666994,0.0
orz,monotonic,4.004993295810362,-0.0008741667017189286
orz,monotonic,5.20545998895373,-0.0008741667017189286
orz,monotonic,6.405926682097098,-0.0008741667017189286
orz,monotonic,7.606393375240466,-0.0008741667017189286
orz,monotonic,8.806860068383834,-0.0008741667017189286
orz,monotonic,10.007326761527203,-0.0008741667017189286
